run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
16,100,3,37.9,34.9,44.4,2.39,1e-08,120,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,12.064064113785838,
17,100,3,48.9,18.9,46.1,1.02,1e-08,120,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,26.258230444502193,
5,100,3,49.6,30.2,51.2,1.91,1e-08,25,0.60,0.58,True,41.400000000000006,3,0.0005955879868079763,0.024404671413644895,13.745843901642068,
34,100,3,35.2,14.1,31.6,2.24,1e-07,80,0.60,0.45,True,38.6,3,0.021667007221852656,0.14719717124269968,14.075719732285028,
35,100,3,13.9,19.6,17.1,3.4,1e-07,80,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,39.84407834647882,
7,100,3,24.8,54.6,53.4,1.37,1e-08,50,0.35,0.45,True,65.10000000000001,3,0.0,0.0,22.352894730850824,
22,100,3,31.9,36.4,41.3,4.74,1e-07,25,0.35,0.45,True,67.4,3,0.004608719370154744,0.06788754944873725,2.470155220002709,
20,100,3,68.5,24.1,66.3,3.98,1e-08,120,0.60,0.58,True,69.0,3,0.006836246892251945,0.08268159947806976,31.463015194826575,
24,100,3,57.8,26.9,57.1,2.37,1e-07,25,0.60,0.45,True,71.9,3,0.02035268188464525,0.14266282586800688,5.716364336727781,
26,100,3,13.4,44.6,40.5,3.24,1e-07,50,center,center,True,69.60000000000001,3,0.02819434629766082,0.16791172173990956,17.130692436651934,
3,100,3,47.2,40.4,55.1,4.36,1e-08,25,0.45,0.55,True,73.5,3,0.0,0.0,5.1162900226168855,
10,100,3,54.9,30.1,55.8,1.78,1e-08,50,0.60,0.58,True,76.9,3,0.0,0.0,17.846414661397375,
4,100,3,64.0,31.8,64.8,2.19,1e-08,25,0.60,0.45,True,70.7,3,0.008077868311878336,0.0898769620752634,23.002552673332275,
12,100,3,42.6,52.7,60.8,1.83,1e-08,80,0.35,0.45,True,78.5,3,0.0005935364690028211,0.02436260390440277,6.886372084635278,
25,100,3,46.0,32.7,49.5,3.38,1e-07,25,0.60,0.58,True,80.2,3,0.026038180601133783,0.16136350455147466,3.4727372593816628,
13,100,3,49.9,47.4,61.8,4.56,1e-08,80,0.45,0.55,True,81.60000000000001,3,0.0007271382755662018,0.026965501581950997,2.632192921127141,
18,100,3,70.3,35.5,72.1,1.29,1e-08,120,0.45,0.55,True,86.4,3,0.0032426620848134084,0.056944377113226974,24.939931361620843,
28,100,3,26.5,67.7,66.3,1.42,1e-07,50,0.45,0.55,True,89.80000000000001,3,0.004451846554870894,0.06672215939903994,0.7797996811095869,
23,100,3,15.5,55.8,51.9,1.63,1e-07,25,0.45,0.55,True,90.0,3,0.00012179114391897202,0.011035902496804329,0.6664839307862175,
14,100,3,27.8,71.5,70.3,1.4,1e-08,80,0.60,0.45,True,92.7,3,2.7565955472043037e-26,1.660299836536854e-13,31.044694226927973,
32,100,3,49.2,30.1,50.8,2.52,1e-07,80,0.35,0.45,True,92.5,3,0.02817135538414013,0.16784324646568335,4.323754030303238,
29,100,3,15.3,63.7,59.6,1.7,1e-07,50,0.60,0.45,True,97.2,3,0.00013686408170626477,0.011698892328176407,0.5638337504810571,
21,100,3,46.7,60.2,69.2,3.62,1e-07,25,center,center,True,96.9,3,0.004125222616867913,0.06422789593991005,1.4373408812993755,
1,100,3,60.1,39.6,65.1,4.74,1e-08,25,center,center,True,101.0,3,1.0097419586828951e-28,1.0048591735576161e-14,14.844072152179605,
27,100,3,68.4,54.2,80.3,1.42,1e-07,50,0.35,0.45,True,102.60000000000001,3,0.0016326652043519747,0.04040625204534534,0.031612785514371626,
33,100,3,52.5,57.1,70.4,3.04,1e-07,80,0.45,0.55,True,100.0,3,0.0020800665631405296,0.04560774674482976,0.23976706819183,
30,100,3,19.6,80.0,76.5,3.88,1e-07,50,0.60,0.58,True,107.30000000000001,3,0.00540108904348237,0.07349210191226245,7.418714292146813,
15,100,3,61.3,55.0,75.3,3.14,1e-08,80,0.60,0.58,True,107.10000000000001,3,0.0006885073153071813,0.02623942292252597,5.6200939892258095,
31,100,3,64.2,44.1,70.9,2.42,1e-07,80,center,center,True,106.60000000000001,3,0.001727773530520061,0.041566495287912605,0.9911585376315112,
2,100,3,11.4,78.3,73.5,4.05,1e-08,25,0.35,0.45,True,106.0,3,5.480820916280703e-20,2.341115314605563e-10,48.83806798513417,
8,100,3,66.5,47.6,74.8,1.77,1e-08,50,0.45,0.55,True,112.4,3,5.048709793414476e-29,7.105427357601002e-15,14.215338093523961,
40,100,3,26.2,22.1,27.2,2.53,1e-07,120,0.60,0.58,True,41.1,3,0.0003362551383267645,0.0183372609275967,3.815468847299583,
63,100,3,36.6,27.0,38.5,1.38,1e-08,25,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,19.617612713173468,
64,100,3,14.2,24.9,21.9,2.88,1e-08,25,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,36.5233508641083,
9,100,3,50.7,70.6,79.9,4.21,1e-08,50,0.60,0.45,True,118.10000000000001,3,1.5975556984437744e-05,0.003996943455246489,13.464784044339712,
19,100,3,69.9,51.4,79.8,2.52,1e-08,120,0.60,0.45,True,126.10000000000001,3,5.048709793414476e-29,7.105427357601002e-15,14.27873879112447,
